Time,Comment,Scramble,Date
53.089165925979614,"",F' D2 F2 L B2 D2 R F2 R2 U' F U L' R2 F2 D' F' U' B,2024-08-17 08:30:56 +0000
50.8284649848938,"",R2 L U' F2 R' F' U R' F B2 D2 L' D2 L2 F2 L2 F2 U,2024-06-17 11:19:45 +0000
49.52222204208374,"",D L2 B' U2 R' B2 D2 L R2 F2 R2 D2 F2 B U F2 U R' B' L,2024-08-16 09:09:56 +0000
53.99848997592926,"",F' L2 D2 F2 L' D2 L B U B2 F U L2 D2 B2 U R',2024-06-12 09:06:03 +0000
76.70671701431274,"",R F2 D2 R F' R2 F' U2 B' R2 L2 B2 R2 L2 D' L2 U2 B' L',2024-06-10 15:20:04 +0000
71.78404092788696,"",D2 F D R' L' U2 F' L' F2 R2 D R2 L2 B2 R2 D L2 U2 B' R,2024-06-10 06:58:27 +0000
107.35691690444946,"",B' U2 D' L B2 L2 F U' F2 L2 U2 B2 R U2 R' U2 B2 R' B2,2024-05-03 16:33:01 +0000
82.03650498390198,"",U2 R' L' F D2 L2 D' L D2 B' U2 L2 F2 U2 B U2 D' B2,2024-05-05 09:14:46 +0000
58.673714995384216,"",F' L2 R2 D' L2 D' B2 R2 B2 R' U' B L2 D L U' L' R,2024-08-15 14:35:15 +0000
84.57945895195007,"",B' R2 F2 D' F2 D' B2 R2 U' L' R F U' F U2 F2 R B L',2024-05-08 09:26:25 +0000
54.68413197994232,"",B D' F R' F2 U' B U2 R' B2 L F2 L F2 D2 F2 L2 D2 L D,2024-08-14 09:08:11 +0000
86.72202610969543,"",U B U2 F2 L' B2 R2 D2 L F' L2 U' B2 D2 B2 U' F' D',2024-05-09 10:29:44 +0000
49.50486397743225,"",F' R2 U2 F2 L R2 D2 L B2 L U' F' D L' U2 B U L',2024-08-04 10:45:40 +0000
50.34960603713989,"",B' L D2 B U R' D F L' U2 F2 R L2 B2 D2 F' D R2,2024-07-20 16:58:55 +0000
50.913354992866516,"",B' F2 L U2 R2 B2 U2 F2 L F2 L' B2 F' L U' L2 U' R' F2,2025-07-05 19:35:12 +0000
72.68119990825653,"",R2 F' U' R' D B L U2 B' F2 L2 F2 D' B2 U' R2 F' U,2024-07-15 08:59:51 +0000
51.65543806552887,"",L2 F D2 F' R2 F' D B' L' U2 R U F R' B' L' F,2024-07-06 08:59:42 +0000
63.43762803077698,"",R2 U2 R D2 U2 R2 B2 U2 R2 F' L' R2 B' U B2 L D2 F' U,2024-05-28 14:25:51 +0000
67.1034220457077,"",R2 D' F2 D L2 R2 D F2 U' R2 B' D L2 U F L' F2 L2 F',2024-05-27 14:28:34 +0000
115.13134205341339,"",U L2 F2 U' R2 F2 U' B' R' U' B R B2 R2 B' L' F D U2,2024-05-12 17:19:07 +0000
65.88492703437805,"",F2 D2 F D2 B' L2 F' D2 B' L' U F L2 R' D U' R D' L2,2024-05-25 07:02:49 +0000
66.20371901988983,"",D R' F2 B L F2 D' B2 D R' D2 L' U2 B2 U2 F2 R,2024-05-25 14:48:17 +0000
81.34389996528625,"",L' F' R' L D' F' U2 R D L2 B' F2 R2 D F2 U2 B2 L2 B2,2024-05-18 13:20:07 +0000
125.4621559381485,"",B' U' B U2 R' L2 B' R U B U2 F' D2 F' R2 U2 B' R2 U,2024-05-24 16:18:05 +0000
58.478160977363586,"",L U' D2 R' F2 L R2 B2 L' F2 U L F2 D2 F U' R D R',2024-05-19 09:24:11 +0000
70.21633803844452,"",F D R2 F2 L2 D L2 U' B' L B2 D R2 B R D' F,2024-05-22 15:29:11 +0000
80.34679901599884,"",F R B R F U D L D2 F2 D2 B2 L2 B2 D F' L2 B,2024-05-19 18:28:49 +0000
72.45684397220612,"",R U' F' D' B2 D' F2 D2 R2 F2 L' D2 F' U L B L,2024-06-08 11:18:31 +0000
62.601606965065,"",F' B U L2 B R D L2 U F U' F2 U B2 U' D' F2 B2 U',2025-06-07 14:29:46 +0000
64.46534502506256,"",F R2 D2 L2 F L2 B2 D2 F2 D' F2 D' F2 L' D B' D U R2,2025-07-04 18:01:21 +0000
50.813677072525024,"",L' D2 F2 U R2 F2 U L2 U B D' R2 F2 U B2 L F L2 R',2024-12-26 10:50:01 +0000
62.58721601963043,"",L2 B' L2 U' F2 U' B2 D R2 F2 D2 B2 F' D' F D2 R' U L',2024-08-20 10:25:47 +0000
63.226492047309875,"",U2 R2 B2 R2 B' R2 F L2 B D' R' U' B2 F2 L B D' R2 B',2024-07-01 12:30:30 +0000
151.31823897361755,"",F2 U' D' R' F' B R2 L2 D' R' D2 F L2 D2 R2 F U2 R,2024-06-05 13:26:58 +0000
48.24664390087128,"",D2 L2 R2 F2 D U2 R2 D2 B2 L' B' D' F R' D F2 L2 D2 F' U,2024-06-19 08:59:04 +0000
53.89512801170349,"",L U' R2 F R2 B2 F2 U2 F2 L' F2 L' D' L F L D R' U2,2024-08-18 14:11:11 +0000
49.79616093635559,"",L D2 F U2 L U2 F U L F D2 L2 F2 B U2 B2 U',2024-08-17 08:32:40 +0000
68.56101095676422,"",B2 L2 D' B2 D2 U F U2 L' U' B D' U' F' R' B2 R' U,2024-06-17 11:21:46 +0000
52.37578999996185,"",D2 R2 B U2 D2 R2 B' L' U B2 R2 U' F2 U F2 D' L2 B2 D',2024-08-16 09:11:42 +0000
71.04362392425537,"",D L2 D2 U2 R2 B R2 B R2 L U' R D R F L' D2 U' B',2024-06-12 14:48:07 +0000
71.85015904903412,"",R L B2 D2 R2 L' B2 D R' L' B' F2 R2 D R2 U' F2 U2 F2,2024-06-11 06:16:53 +0000
65.98716497421265,"",D F2 B2 U R2 F' L2 D B R B2 D R2 D' L2 D L2 D2 F2,2024-06-10 07:00:29 +0000
92.74294197559357,"",R' U' R2 F D B' U2 R2 F2 L' F R2 F2 U2 R2 F' B2 L2 F',2024-05-03 08:51:45 +0000
75.17211103439331,"",R2 U2 F2 U2 B2 F U2 R2 D2 U L' D2 U' R B U' L2,2024-05-05 07:42:46 +0000
53.60877501964569,"",D' B' F2 D U L2 F2 D2 R' D U2 F' U B2 R' D' U L,2024-08-15 14:37:16 +0000
138.70469498634338,"",U B2 U2 L2 F' B' U R' F R2 D2 R2 F2 D F2 B2 D' R2,2024-05-07 16:53:02 +0000
58.682412981987,"",F L' R' D2 L2 R' U2 B2 R U' R U2 L' F2 D2 F L2 D',2024-08-14 09:10:05 +0000
97.61104393005371,"",F' R2 B' D2 U2 R2 U2 B L2 R2 U' B L R' U F2 D L,2024-05-09 10:27:44 +0000
50.41680598258972,"",F2 R2 L U2 D' F' U R U' R2 B2 D R2 D' F2 B2 L D' R,2024-08-04 10:47:20 +0000
66.0025999546051,"",F2 U2 R2 D' L2 F2 U' F R' U R' D2 U R B F2 L2 D',2025-07-05 11:31:50 +0000
77.99904799461365,"",B' D2 B' U2 B2 D2 F2 L B L' R F L U L B' L R,2024-07-20 17:01:22 +0000
69.36641502380371,"",U' F L F2 L2 U B2 R2 U2 B2 D' B2 U' R' F' D' U' R B' L2,2024-07-15 09:11:10 +0000
60.44455397129059,"",U' F2 R2 B2 D2 R U2 R U2 B2 L' D' F2 L' B F' U' F' D' F',2024-05-28 14:33:14 +0000
58.8903089761734,"",U F2 R2 B2 L2 R2 D' R B' L' U' F2 L' U2 R' U2 R' U' L',2024-07-06 09:01:24 +0000
58.071816086769104,"",L U L2 R2 U2 B' D2 B2 L2 U R' B' F2 D2 L D F R2,2024-05-28 13:59:22 +0000
80.52883100509644,"",U2 R' D' U2 B2 F U2 B2 U2 L2 B R' B' R B L' U F U2,2024-05-26 14:39:08 +0000
54.70619595050812,"",R D2 L' R2 U2 F2 R B2 D2 U' L U L2 F U' L2 D2 B' U2,2024-05-12 17:14:22 +0000
56.147107005119324,"",F R B' R2 B' D2 B' D2 F R' B U' R B' D F2 R' U2,2024-05-25 14:32:53 +0000
73.33013904094696,"",D' U' R2 D' F2 U R2 B' U2 R B' L' R' U L D B' F D',2024-05-17 11:10:44 +0000
78.28131294250488,"",D2 R U B' D2 L2 U' F2 B2 L U2 D2 B2 R2 U2 D B D2 L,2024-05-24 17:08:34 +0000
86.24843502044678,"",D' L F' R' F U' B U2 F' U R2 B2 L2 U F2 D' R2 F2 R2 B2,2024-05-18 13:18:02 +0000
70.84838104248047,"",R' L' U' B' R2 F' D' F' U2 B2 R' F2 R F2 U2 R2 L' F' B2,2024-05-24 16:21:34 +0000
60.01723611354828,"",U R2 U B2 F2 U2 B2 L2 F2 D' F U F D F U2 L2 R' F,2024-05-22 15:25:05 +0000
72.71043300628662,"",U F2 R' B U2 F' R' U' L' U2 F2 R2 U2 F L2 B L F2,2024-05-26 14:56:59 +0000
66.46237397193909,"",U' D L U' B R B2 D' L F' U2 R U2 R' F2 D2 R D2 U',2024-06-08 11:16:48 +0000
72.35163807868958,"",B U2 F D2 B2 F' L2 F' R F D B U F R2 B' R' F2 D,2025-06-07 14:31:49 +0000
50.9319748878479,"",B' L2 F U2 R2 D2 F2 U2 L' U2 B' L2 U B R' U2 F2 D F,2025-07-04 18:02:54 +0000
57.06779706478119,"",D B' R' U F' L' U2 R' D' B' L' F2 U2 L U2 L' F2 R2,2024-12-26 10:53:13 +0000
62.629575967788696,"",D L D2 R' F' R2 U' B D2 R F2 R2 F2 U2 F2 L D F,2024-08-20 10:27:40 +0000
47.0767480134964,"",L F' B2 L' D L2 F' L' U F' R2 B L2 F R2 B R2 D2 F2,2024-07-01 12:32:17 +0000
56.85170495510101,"",F' R2 B' R2 B R B' F' U2 L' R' U B L2 F2 R,2024-08-19 11:36:56 +0000
65.47859597206116,"",R2 U2 F' U L B2 U' D2 L2 D2 L' U2 L' B L B' U,2024-06-19 09:00:52 +0000
53.38642406463623,"",B2 R' U' F2 L2 F2 D F2 D2 U' F2 B' R' F2 D' F D2 F2 U L',2024-08-17 08:34:23 +0000
76.44362902641296,"",L F D2 B L2 F L2 U2 L2 B2 L U' R B' R U L2 B' R,2024-06-17 11:24:25 +0000
61.01243197917938,"",B U R' U2 F2 U2 L2 B' D' U2 L D2 R' U2 D2 B2 U2 R2 D,2024-08-16 09:13:34 +0000
72.54189193248749,"",B2 U L' U2 F' D2 B R' F R D' F B2 U2 B2 U2 B' D2,2024-06-12 14:50:04 +0000
53.76556098461151,"",B' U2 B' L2 U2 L2 D2 B2 R' F U2 B' F U L' D2 L' B,2025-07-08 06:13:25 +0000
59.9001350402832,"",D2 R' D2 B2 U2 L F2 D F D2 L2 B' R' F2 D L D R',2024-06-11 06:18:45 +0000
72.82964396476746,"",L2 U' B2 R2 D' B2 D U' R' D' U R2 U B U L D' L2,2024-06-10 07:08:14 +0000
77.97572600841522,"",D' R' F2 L B2 R2 U' B2 U2 B2 L F L D2 R2 B R,2024-05-03 08:49:02 +0000
109.09795105457306,"",D F2 U2 R2 U L2 R2 B R' F L2 F R D' F' U' L F' R,2024-05-05 07:40:36 +0000
53.745485067367554,"",R2 B' D' L B' L' D2 F D U2 R' F2 B2 R D2 F2 B2 L D,2024-08-15 14:39:40 +0000
78.00392997264862,"",D2 F B2 D R' F2 B D' F' U L D2 R2 U2 D2 F2 R L2 B,2024-05-07 14:38:27 +0000
105.01449608802795,"",B D2 U' F2 U2 F2 L2 D' B L2 F' D L' D' L2 D U',2024-08-15 08:45:42 +0000
82.49801898002625,"",L2 R2 U R2 D' R2 D' R' B' L U2 B' R D F D' U' B2 R,2024-05-09 10:25:19 +0000
68.98035788536072,"",F L' U2 R' L2 B R B D R2 F' U B2 U D' F2 D' R2 F2,2024-08-04 10:49:19 +0000
54.50032091140747,"",D' F2 U' F2 R' B2 R2 B2 D2 L2 U2 R' B' L2 F2 U2 B D F,2024-07-21 08:16:58 +0000
59.9173709154129,"",F' R B R2 B' U L' F D L' B R2 F' L2 B L2 D2 B' L2,2024-07-15 09:18:01 +0000
63.396474957466125,"",B2 L' U F2 R' D F2 D2 F B L2 D2 B' U2 R2 D2 F2 D' B,2024-05-28 14:27:38 +0000
